employee_id,name,address,ssn,date_of_birth,job_title,start_date,end_date
1,Anubhaw Arya,Seattle,123456789,1/1/1970,lecturer,2/1/2021,
2,Matt Dunn,5510 N Camino Real,234567890,05/10/1994,Tax Manager,12/30/2017,11/25/2023
3,Allison Dunn,6716C Mary Ave NW,098765432,12/02/1993,SOX Specialist,6/01/2023,12/31/2023
4,Bibby Dunn,123 Dog Lane,123456789,1/1/1999,Dog,2/10/1999,
5,Merideth Grey,Seattle,123456789,1/1/1990,Doctor,5/1/2000,
6,Grace Dunn,123 E Broadway,123456789,1/3/2023,Account Manager,1/4/2023,
7,Zoe Dunn,"123 N. Pima Ave, Tucson, AZ 85718",123456789,5/1/1960,Partner,1/1/2000,
8,Chuck Dunn,"123C Ave NW, St. George, UT 88888",123456789,6/29/1950,Chief Financial Officer,10/15/2005,10/31/2023
9,Jenny Minarcik,"987 Jokake, Phoenix, AZ 88943",123456789,4/6/1975,Chief Risk Officer,3/26/2005,
10,Larry Minarcik,987 Jokake St.,123456789,9/9/1945,Chief Technology Officer,6/7/1989,11/02/2023
11,Andrew Dunn,"Tucson, AZ",123456789,9/9/1995,Sales Rep,9/10/2022,12/1/2023
12,John Dunn,"Manhattan, KS",123456789,1/7/2000,Coach,1/1/2023,
13,Nicole Mendoza,"Boise, ID",123456789,12/2/1993,Teacher,6/7/2016,1/1/2023
14,Xander Mendoza,"Boise, ID",123456789,3/4/1992,Coder,1/1/2022,
15,Jerry Seinfeld,123 New York St,123456789,1/1/2000,Comedian,1/1/2024,
16,George Castanza,1234 Brooklyn Ave,123456789,5/10/1994,SDE,1/1/2023,12/1/2023
17,Elaine Benes,987 Highway Lane,123456789,1/1/1970,Public Relations,1/22/2023,
18,Cosmo Kramer,32 Third Ave,123456789,1/2/2000,Janitor,1/1/2022,1/4/2023
19,Eric Newman,12345 Mailman Way,123456789,1/1/2000,Mail Room Attendant,1/5/2022,
20,Maynard Keenan,462 Preston Ave,123456789,05/30/1963,Chief Talent Operator,01/04/2013,11/26/2023
21,Derek Shepherd,456 Grey Sloan Way,987654321,04/29/1975,Chief Medical Officer,07/29/2016,
22,Mark Sloan,9876 First Ave,987654321,05/16/1965,Staff Accountant,03/24/2021,
